Ancestry,Heritage,Trait_1,Trait_2,Trait_3,Trait_4,Trait_5,Source,Hit_Points,Size,Speed_In_Feet,Ability_Boost_1,Ability_Boost_2,Ability_Boost_3,Ability_Flaws,Languages_1,Languages_2,Languages_3,Languages_4,Senses,Additional_Info,Description
Elf,Arctic,Elf,Humanoid,None,None,None,CRB 39,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You dwell deep in the frozen north and have gained incredible resilience against cold environments, granting you cold resistance equal to half your level (minimum 1). You treat environmental cold effects as if they were one step less extreme (incredible cold becomes extreme, extreme cold becomes severe, and so on)."
Elf,Cavern,Elf,Humanoid,None,None,None,CRB 39,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,You were born or spent many years in underground tunnels or caverns where light is scarce. You gain darkvision.
Elf,Desert,Elf,Humanoid,None,None,None,LOCG 25,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You live under the desert’s blazing heat, gaining incredible resilience to warm environments. You gain fire resistance equal to half your level (minimum 1), and environmental heat effects are one step less extreme for you (incredible heat becomes extreme, extreme heat becomes severe, and so on)."
Elf,Seer,Elf,Humanoid,None,None,None,CRB 40,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You have an inborn ability to detect and understand magical phenomena. You can cast the detect magic cantrip as an arcane innate spell at will. A cantrip is heightened to a spell level equal to half your level rounded up.

In addition, you gain a +1 circumstance bonus to checks to Identify Magic and to Decipher Writing of a magical nature. These skill actions typically use the Arcana, Nature, Occultism, or Religion skill."
Elf,Whisper,Elf,Humanoid,None,None,None,CRB 40,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"Your ears are finely tuned, able to detect even the slightest whispers of sound. As long as you can hear normally, you can use the Seek action to sense undetected creatures in a 60-foot cone instead of a 30-foot cone. You also gain a +2 circumstance bonus to locate undetected creatures that you could hear within 30 feet with a Seek action."
Elf,Woodland,Elf,Humanoid,None,None,None,CRB 40,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You're adapted to life in the forest or the deep jungle, and you know how to climb trees and use foliage to your advantage. When Climbing trees, vines, and other foliage, you move at half your Speed on a success and at full Speed on a critical success (and you move at full Speed on a success if you have Quick Climb). This doesn't affect you if you're using a climb Speed.

You can always use the Take Cover action when you are within forest terrain to gain cover, even if you're not next to an obstacle you can Take Cover behind."
Elf,Aasimar,Elf,Humanoid,Aasimar,Uncommon,None,APG 34,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You descend from celestials or were touched by the celestial realms, gaining an air of awe and grace, as well as features distinctive to your celestial forebears. You gain the aasimar trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from aasimar feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Aphorite,Elf,Humanoid,Aphorite,Uncommon,None,LOAG 75,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You were born with a connection to Axis, the Plane of Law. You gain the aphorite trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from aphorite feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Beastkin,Elf,Humanoid,Beastkin,Rare,None,LOAG 79,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"The blood of a beast flows through your veins, granting you the ferocity and might of animals. Only creatures with the humanoid trait can take the beastkin versatile heritage. Choose a type of animal such as bat, eagle, shark, spider, tyrannosaurus, wasp, or wolf. This is the type of animal tied to your heritage and is known as your inherent animal. You gain the beast and beastkin traits, in addition to the traits from your ancestry. You gain the Change Shape ability. You can choose from beastkin feats and feats from your ancestry whenever you gain an ancestry feat.

Change Shape [Single Action]
Concentrate-Polymorph-Primal-Transmutation

You change into your humanoid or hybrid shape. Each shape has a specific, persistent appearance, and most beastkin remain in their hybrid shapes by default. In hybrid shape, you appear as a mix between your ancestry and your inherent animal. While in hybrid shape, you gain a jaws unarmed Strike resembling the features of your inherent animal (fangs for bats, beaks for eagles, mandibles for wasps, and so on). Your jaws deal 1d4 piercing damage, have the agile, finesse, and unarmed traits, and are in the brawling weapon group. In your humanoid shape, you retain the appearance of your original ancestry."
Elf,Changeling,Elf,Humanoid,Changeling,Uncommon,None,APG 30,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"Your mother was a hag. Your heterochromatic eyes are the most obvious signifier of this parentage, but you likely also have a slighter build, paler skin, and darker hair than most members of your other parent’s ancestry. You gain the changeling trait. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can select from changeling feats and feats from your other parent’s ancestry whenever you gain an ancestry feat."
Elf,Dhampir,Elf,Humanoid,Dhampir,Uncommon,None,APG 32,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You are the scion of a vampire, half living and half undead, gifted with uncanny charm and grace, a bloodless pallor, and elongated incisors. You gain the dhampir trait, in addition to the traits from your ancestry. You have the negative healing ability, which means you are harmed by positive damage and healed by negative effects as if you were undead. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from dhampir feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Duskwalker,Elf,Humanoid,Duskwalker,Uncommon,None,APG 38,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"Thanks to an ancient bargain, your soul has been reborn as a duskwalker, a planar scion with a connection to psychopomps and the Boneyard. You gain the duskwalker trait in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. Neither your body nor your spirit can ever become undead. You can choose from duskwalker feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Ganzi,Elf,Humanoid,Ganzi,Uncommon,None,LOAG 96,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"Your blood is touched by primal chaos. You gain the ganzi trait in addition to the traits from your ancestry. You gain resistance to a single damage type equal to half your level; at the beginning of each day, determine randomly whether this resistance applies to acid, electricity, or sonic damage. You also gain a +1 circumstance bonus to saving throws against effects that would cause you to gain the controlled condition. You can choose from ganzi feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Tiefling,Elf,Humanoid,Tiefling,Uncommon,None,APG 39,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You descend from fiends or bear the mark of the fiendish realms, manifesting as some unusual feature that belies your heritage, such as horns or a tail. You gain the tiefling trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from tiefling feats and feats from your ancestry whenever you gain an ancestry feat."
Gnome,Chameleon,Gnome,Humanoid,None,None,None,CRB 43,8,Small,25,Constitution,Charisma,Free,Strength,Common,Gnomish,Sylvan,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Draconic, Dwarven, Elven, Goblin, Jotun, Orcish, and any other languages to which you have access (such as the languages prevalent in your region).","Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"The color of your hair and skin is mutable, possibly due to latent magic. You can slowly change the vibrancy and the exact color, and the coloration can be different across your body, allowing you to create patterns or other colorful designs. It takes a single action for minor localized shifts and up to an hour for dramatic shifts throughout your body. While you're asleep, the colors shift on their own in tune with your dreams, giving you an unusual coloration each morning. When you're in an area where your coloration is roughly similar to the environment (for instance, forest green in a forest), you can use the single action to make minor localized shifts designed to help you blend into your surroundings. This grants you a +2 circumstance bonus to Stealth checks until your surroundings shift in coloration or pattern."
Gnome,Fey-Touched,Gnome,Humanoid,None,None,None,CRB 43,8,Small,25,Constitution,Charisma,Free,Strength,Common,Gnomish,Sylvan,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Draconic, Dwarven, Elven, Goblin, Jotun, Orcish, and any other languages to which you have access (such as the languages prevalent in your region).","Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"The blood of the fey is so strong within you that you're truly one of them. You gain the fey trait, in addition to the gnome and humanoid traits. Choose one cantrip from the primal spell list. You can cast this spell as a primal innate spell at will. A cantrip is heightened to a spell level equal to half your level rounded up. You can change this cantrip to a different one from the same list once per day by meditating to realign yourself with the First World; this is a 10-minute activity that has the concentrate trait."
Gnome,Sensate,Gnome,Humanoid,None,None,None,CRB 44,8,Small,25,Constitution,Charisma,Free,Strength,Common,Gnomish,Sylvan,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Draconic, Dwarven, Elven, Goblin, Jotun, Orcish, and any other languages to which you have access (such as the languages prevalent in your region).","Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"You see all colors as brighter, hear all sounds as richer, and especially smell all scents with incredible detail. You gain a special sense: imprecise scent with a range of 30 feet. This means you can use your sense of smell to determine the exact location of a creature. The GM will usually double the range if you're downwind from the creature or halve the range if you're upwind.

In addition, you gain a +2 circumstance bonus to Perception checks whenever you're trying to locate an undetected creature that is within the range of your scent."
