Action_Name,Skill,Trained?,Action_Type,Traits,Source,Requirements,Description
Climb,Athletics,No,A,Move,CRB 241,You have both hands free.,"You move up, down, or across an incline. Unless it’s particularly easy, you must attempt an Athletics check. The GM determines the DC based on the nature of the incline and environmental circumstances. You’re flat-footed unless you have a climb Speed.

Critical Success You move up, across, or safely down the incline for 5 feet plus 5 feet per 20 feet of your land Speed (a total of 10 feet for most PCs).
Success You move up, across, or safely down the incline for 5 feet per 20 feet of your land Speed (a total of 5 feet for most PCs, minimum 5 feet if your Speed is below 20 feet).
Critical Failure You fall. If you began the climb on stable ground, you fall and land prone."
Force Open,Athletics,No,A,Attack,CRB 242,None,"Using your body, a lever, or some other tool, you attempt to forcefully open a door, window, container or heavy gate. With a high enough result, you can even smash through walls. Without a crowbar, prying something open takes a –2 item penalty to the Athletics check to Force Open.

Critical Success You open the door, window, container, or gate and can avoid damaging it in the process.
Success You break the door, window, container, or gate open, and the door, window, container, or gate gains the broken condition. If it’s especially sturdy, the GM might have it take damage but not be broken.
Critical Failure Your attempt jams the door, window, container, or gate shut, imposing a –2 circumstance penalty on future attempts to Force it Open."
Grapple,Athletics,No,A,Attack,CRB 242,You have at least one free hand or have your target grappled or restrained. Your target isn't more than one size larger than you.,"You attempt to grab a creature or object with your free hand. Attempt an Athletics check against the target's Fortitude DC. You can Grapple a target you already have grabbed or restrained without having a hand free.

Critical Success Your target is restrained until the end of your next turn unless you move or your target Escapes.
Success Your target is grabbed until the end of your next turn unless you move or your target Escapes.
Failure You fail to grab your target. If you already had the target grabbed or restrained using a Grapple, those conditions on that creature or object end.
Critical Failure If you already had the target grabbed or restrained, it breaks free. Your target can either grab you, as if it succeeded at using the Grapple action against you, or force you to fall and land prone."
High Jump,Athletics,No,AA,None,CRB 242,None,"You Stride, then make a vertical Leap and attempt a DC 30 Athletics check to increase the height of your jump. If you didn’t Stride at least 10 feet, you automatically fail your check. This DC might be increased or decreased due to the situation, as determined by the GM.

Critical Success Increase the maximum vertical distance to 8 feet, or increase the maximum vertical distance to 5 feet and maximum horizontal distance to 10 feet.
Success Increase the maximum vertical distance to 5 feet.
Failure You Leap normally.
Critical Failure You don’t Leap at all, and instead you fall prone in your space."
Long Jump,Athletics,No,AA,None,CRB 242,None,"You Stride, then make a horizontal Leap and attempt an Athletics check to increase the length of your jump. The DC of the Athletics check is equal to the total distance in feet you’re attempting to move during your Leap (so you’d need to succeed at a DC 20 check to Leap 20 feet). You can’t Leap farther than your Speed.

If you didn’t Stride at least 10 feet, or if you attempt to jump in a different direction than your Stride, you automatically fail your check. This DC might be increased or decreased due to the situation, as determined by the GM.

Success Increase the maximum horizontal distance you Leap to the desired distance.
Failure You Leap normally.
Critical Failure You Leap normally, but then fall and land prone."
Shove,Athletics,No,A,Attack,CRB 243,You have at least one hand free. The target can’t be more than one size larger than you.,"You push a creature away from you. Attempt an Athletics check against your target's Fortitude DC.

Critical Success You push your target up to 10 feet away from you. You can Stride after it, but you must move the same distance and in the same direction.
Success You push your target back 5 feet. You can Stride after it, but you must move the same distance and in the same direction.
Critical Failure You lose your balance, fall, and land prone."
Swim,Athletics,No,A,Move,CRB 243,None,"You propel yourself through water. In most calm water, you succeed at the action without needing to attempt a check. If you must breathe air and you’re submerged in water, you must hold your breath each round. If you fail to hold your breath, you begin to drown. If the water you are swimming in is turbulent or otherwise dangerous, you might have to attempt an Athletics check to Swim.

If you end your turn in water and haven’t succeeded at a Swim action that turn, you sink 10 feet or get moved by the current, as determined by the GM. However, if your last action on your turn was to enter the water, you don’t sink or move with the current that turn.

Critical Success You move through the water 10 feet, plus 5 feet per 20 feet of your land Speed (a total of 15 feet for most PCs).
Success You move through the water 5 feet, plus 5 feet per 20 feet of your land Speed (a total of 10 feet for most PCs).
Critical Failure You make no progress, and if you’re holding your breath, you lose 1 round of air."
Trip,Athletics,No,A,Attack,CRB 243,You have at least one hand free. Your target can’t be more than one size larger than you.,"You try to knock a creature to the ground. Attempt an Athletics check against the target’s Reflex DC.

Critical Success The target falls and lands prone and takes 1d6 bludgeoning damage.
Success The target falls and lands prone.
Critical Failure You lose your balance and fall and land prone."
Disarm,Athletics,Yes,A,Attack,CRB 243,You have at least one hand free. The target can’t be more than one size larger than you.,"You try to knock something out of a creature’s grasp. Attempt an Athletics check against the target’s Reflex DC.

Critical Success You knock the item out of the target's grasp. It falls to the ground in the target's space.
Success You weaken your target's grasp on the item. Until the start of that creature's turn, attempts to Disarm the target of that item gain a +2 circumstance bonus, and the target takes a –2 circumstance penalty to attacks with the item or other checks requiring a firm grasp on the item.
Critical Failure You lose your balance and become flat-footed until the start of your next turn."
Repair,Crafting,No,None,"Exploration, Manipulate",CRB 243,You have a repair kit.,"You spend 10 minutes attempting to fix a damaged item, placing the item on a stable surface and using the repair kit with both hands. The GM sets the DC, but it’s usually about the same DC to Repair a given item as it is to Craft it in the first place. You can’t Repair a destroyed item.

Critical Success You restore 10 Hit Points to the item, plus an additional 10 Hit Points per proficiency rank you have in Crafting (a total of 20 HP if you’re trained, 30 HP if you’re an expert, 40 HP if you’re a master, or 50 HP if you’re legendary).
Success You restore 5 Hit Points to the item, plus an additional 5 per proficiency rank you have in Crafting (for a total of 10 HP if you are trained, 15 HP if you’re an expert, 20 HP if you’re a master, or 25 HP if you’re legendary).
Critical Failure You deal 2d6 damage to the item. Apply the item’s Hardness to this damage."
Identify Alchemy,Crafting,Yes,None,"Concentrate, Exploration, Secret",CRB 245,You have alchemist’s tools.,"You can identify the nature of an alchemical item with 10 minutes of testing using alchemist’s tools. If your attempt is interrupted in any way, you must start over.

Success You identify the item and the means of activating it.
Failure You fail to identify the item but can try again.
Critical Failure You misidentify the item as another item of the GM’s choice."
Create A Diversion,Deception,No,A,Mental,CRB 245,None,"With a gesture, a trick, or some distracting words, you can create a diversion that draws creatures' attention elsewhere. If you use a gesture or trick, this action gains the manipulate trait. If you use distracting words, it gains the auditory and linguistic traits.

Attempt a single Deception check and compare it to the Perception DCs of the creatures whose attention you're trying to divert. Whether or not you succeed, creatures you attempt to divert gain a +4 circumstance bonus to their Perception DCs against your attempts to Create a Diversion for 1 minute.

Success You become hidden to each creature whose Perception DC is less than or equal to your result. (The hidden condition allows you to Sneak away.) This lasts until the end of your turn or until you do anything except Step or use the Hide or the Sneak action of the Stealth skill. If you Strike a creature, the creature remains flat-footed against that attack, and you then become observed. If you do anything else, you become observed just before you act unless the GM determines otherwise.
Failure You don’t divert the attention of any creatures whose Perception DC exceeds your result, and those creatures are aware you were trying to trick them."
Impersonate,Deception,No,None,"Concentrate, Exploration, Manipulate, Secret",CRB 245,None,"You create a disguise to pass yourself off as someone or something you are not. Assembling a convincing disguise takes 10 minutes and requires a disguise kit, but a simpler, quicker disguise might do the job if you’re not trying to imitate a specific individual, at the GM’s discretion.

In most cases, creatures have a chance to detect your deception only if they use the Seek action to attempt Perception checks against your Deception DC. If you attempt to directly interact with someone while disguised, the GM rolls a secret Deception check for you against that creature’s Perception DC instead. If you’re disguised as a specific individual, the GM might give creatures you interact with a circumstance bonus based on how well they know the person you’re imitating, or the GM might roll a secret Deception check even if you aren’t directly interacting with others.

Success You trick the creature into thinking you’re the person you’re disguised as. You might have to attempt a new check if your behavior changes.
Failure The creature can tell you’re not who you claim to be.
Critical Failure The creature can tell you’re not who you claim to be, and it recognizes you if it would know you without a disguise."
Lie,Deception,No,None,"Auditory, Concentrate, Lingusitic, Mental, Secret",CRB 246,None,"You try to fool someone with an untruth. Doing so takes at least 1 round, or longer if the lie is elaborate. You roll a single Deception check and compare it against the Perception DC of every creature you are trying to fool. The GM might give them a circumstance bonus based on the situation and the nature of the lie you are trying to tell. Elaborate or highly unbelievable lies are much harder to get a creature to believe than simpler and more believable lies, and some lies are so big that it’s impossible to get anyone to believe them.

At the GM’s discretion, if a creature initially believes your lie, it might attempt a Perception check later to Sense Motive against your Deception DC to realize it’s a lie. This usually happens if the creature discovers enough evidence to counter your statements.

Success The target believes your lie.
Failure The target doesn’t believe your lie and gains a +4 circumstance bonus against your attempts to Lie for the duration of your conversation. The target is also more likely to be suspicious of you in the future."
Feint,Deception,Yes,A,Mental,CRB 246,You are within melee reach of the opponent you attempt to Feint.,"With a misleading flourish, you leave an opponent unprepared for your real attack. Attempt a Deception check against that opponent’s Perception DC.

Critical Success You throw your enemy’s defenses against you entirely off. The target is flat-footed against melee attacks that you attempt against it until the end of your next turn.
Success Your foe is fooled, but only momentarily. The target is flat-footed against the next melee attack that you attempt against it before the end of your current turn.
Critical Failure Your feint backfires. You are flat-footed against melee attacks the target attempts against you until the end of your next turn."
Gather Information,Diplomacy,No,None,"Exploration, Secret",CRB 246,None,"You canvass local markets, taverns, and gathering places in an attempt to learn about a specific individual or topic. The GM determines the DC of the check and the amount of time it takes (typically 2 hours, but sometimes more), along with any benefit you might be able to gain by spending coin on bribes, drinks, or gifts.

Success You collect information about the individual or topic. The GM determines the specifics.
Critical Failure You collect incorrect information about the individual or topic."
Make An Impression,Diplomacy,No,None,"Auditory, Concentrate, Exploration, Linguistic, Mental",CRB 246,None,"With at least 1 minute of conversation, during which you engage in charismatic overtures, flattery, and other acts of goodwill, you seek to make a good impression on someone to make them temporarily agreeable. At the end of the conversation, attempt a Diplomacy check against the Will DC of one target, modified by any circumstances the GM sees fit. Good impressions (or bad impressions, on a critical failure) last for only the current social interaction unless the GM decides otherwise.

Critical Success The target’s attitude toward you improves by two steps.
Success The target’s attitude toward you improves by one step.
Critical Failure The target’s attitude toward you decreases by one step."
Request,Diplomacy,No,A,"Auditory, Concetrate, Linguistic, Mental",CRB 247,None,"You can make a request of a creature that’s friendly or helpful to you. You must couch the request in terms that the target would accept given their current attitude toward you. The GM sets the DC based on the difficulty of the request. Some requests are unsavory or impossible, and even a helpful NPC would never agree to them.

Critical Success The target agrees to your request without qualifications.
Success The target agrees to your request, but they might demand added provisions or alterations to the request.
Failure The target refuses the request, though they might propose an alternative that is less extreme.
Critical Failure Not only does the target refuse the request, but their attitude toward you decreases by one step due to the temerity of the request."
Demoralize,Intimidation,No,A,"Auditory, Concentrate, Emotion, Fear, Mental",CRB 247,None,"With a sudden shout, a well-timed taunt, or a cutting putdown, you can shake an enemy's resolve. Choose a creature within 30 feet of you who you're aware of. Attempt an Intimidation check against that target's Will DC. If the target does not understand the language you are speaking, or you're not speaking a language, you take a –4 circumstance penalty to the check. Regardless of your result, the target is temporarily immune to your attempts to Demoralize it for 10 minutes.

Critical Success The target becomes frightened 2.
Success The target becomes frightened 1."
Coerce,Intimidation,No,None,"Auditory, Concentrate, Exploration, Lingusitic, Mental",CRB 247,None,"With threats either veiled or overt, you attempt to bully a creature into doing what you want. You must spend at least 1 minute of conversation with a creature you can see and that can either see or sense you. At the end of the conversation, attempt an Intimidation check against the target's Will DC, modified by any circumstances the GM determines. The attitudes referenced in the effects below are summarized in the Changing Attitudes sidebar and described in full in the Conditions page.

Critical Success The target gives you the information you seek or agrees to follow your directives so long as they aren't likely to harm the target in any way. The target continues to comply for an amount of time determined by the GM but not exceeding 1 day, at which point the target becomes unfriendly (if they weren't already unfriendly or hostile). However, the target is too scared of you to retaliate—at least in the short term.
Success As critical success, but once the target becomes unfriendly, they might decide to act against you—for example, by reporting you to the authorities or assisting your enemies.
Failure The target doesn’t do what you say, and if they were not already unfriendly or hostile, they become unfriendly.
Critical Failure The target refuses to comply, becomes hostile if they weren’t already, and can’t be Coerced by you for at least 1 week."
Administer First Aid,Medicine,No,AA,Manipulate,CRB 248,"You are holding healer's tools, or you are wearing them and have a hand free","You perform first aid on an adjacent creature that is dying or bleeding. If a creature is both dying and bleeding, choose which ailment you’re trying to treat before you roll. You can Administer First Aid again to attempt to remedy the other effect.
• Stabilize Attempt a Medicine check on a creature that has 0 Hit Points and the dying condition. The DC is equal to 5 + that creature’s recovery roll DC (typically 15 + its dying value).
• Stop Bleeding Attempt a Medicine check on a creature that is taking persistent bleed damage, giving them a chance to make another flat check to remove the persistent damage. The DC is usually the DC of the effect that caused the bleed.


Success If you’re trying to stabilize, the creature loses the dying condition (but remains unconscious). If you’re trying to stop bleeding, the creature attempts a flat check to end the bleeding.
Critical Failure If you were trying to stabilize, the creature’s dying value increases by 1. If you were trying to stop bleeding, it immediately takes an amount of damage equal to its persistent bleed damage."
Treat Poison,Medicine,Yes,A,Manipulate,CRB 248,"You are holding healer's tools, or you are wearing them and have a hand free","You treat a patient to prevent the spread of poison. Attempt a Medicine check against the poison’s DC. After you attempt to Treat a Poison for a creature, you can’t try again until after the next time that creature attempts a save against the poison.

Critical Success You grant the creature a +4 circumstance bonus to its next saving throw against the poison.
Success You grant the creature a +2 circumstance bonus to its next saving throw against the poison.
Critical Failure Your efforts cause the creature to take a –2 circumstance penalty to its next save against the poison."
Treat Wounds,Medicine,Yes,None,"Exploration, Healing, Manipulate",CRB 249,"You are holding healer's tools, or you are wearing them and have a hand free","You spend 10 minutes treating one injured living creature (targeting yourself, if you so choose). The target is then temporarily immune to Treat Wounds actions for 1 hour, but this interval overlaps with the time you spent treating (so a patient can be treated once per hour, not once per 70 minutes).

The Medicine check DC is usually 15, though the GM might adjust it based on the circumstances, such as treating a patient outside in a storm, or treating magically cursed wounds. If you’re an expert in Medicine, you can instead attempt a DC 20 check to increase the Hit Points regained by 10; if you’re a master of Medicine, you can instead attempt a DC 30 check to increase the Hit Points regained by 30; and if you’re legendary, you can instead attempt a DC 40 check to increase the Hit Points regained by 50. The damage dealt on a critical failure remains the same.

If you succeed at your check, you can continue treating the target to grant additional healing. If you treat them for a total of 1 hour, double the Hit Points they regain from Treat Wounds.

The result of your Medicine check determines how many Hit Points the target regains.

Critical Success The target regains 4d8 Hit Points, and its wounded condition is removed.
Success The target regains 2d8 Hit Points, and its wounded condition is removed.
Critical Failure The target takes 1d8 damage."
Treat Disease,Medicine,Yes,None,"Downtime, Manipulate",CRB 248,"You are holding healer's tools, or you are wearing them and have a hand free","You spend at least 8 hours caring for a diseased creature. Attempt a Medicine check against the disease’s DC. After you attempt to Treat a Disease for a creature, you can’t try again until after that creature’s next save against the disease.

Critical Success You grant the creature a +4 circumstance bonus to its next saving throw against the disease.
Success You grant the creature a +2 circumstance bonus to its next saving throw against the disease.
Critical Failure Your efforts cause the creature to take a –2 circumstance penalty to its next save against the disease."
Command An Animal,Nature,No,A,"Auditory, Concentrate",CRB 249,None,"You issue an order to an animal. Attempt a Nature check against the animal's Will DC. The GM might adjust the DC if the animal has a good attitude toward you, you suggest a course of action it was predisposed toward, or you offer it a treat.

You automatically fail if the animal is hostile or unfriendly to you. If the animal is helpful to you, increase your degree of success by one step. You might be able to Command an Animal more easily with a feat like Ride.

Most animals know the Drop Prone, Leap, Seek, Stand, Stride, and Strike basic actions. If an animal knows an activity, such as a horse's Gallop, you can Command the Animal to perform the activity, but you must spend as many actions on Command an Animal as the activity's number of actions. You can also spend multiple actions to Command the Animal to perform that number of basic actions on its next turn; for instance, you could spend 3 actions to Command an Animal to Stride three times or to Stride twice and then Strike.

Success The animal does as you command on its next turn.
Failure The animal is hesitant or resistant, and it does nothing.
Critical Failure The animal misbehaves or misunderstands, and it takes some other action determined by the GM."
Perform,Performance,No,A,Concentrate,CRB 250,None,"When making a brief performance—one song, a quick dance, or a few jokes—you use the Perform action. This action is most useful when you want to prove your capability or impress someone quickly. Performing rarely has an impact on its own, but it might influence the DCs of subsequent Diplomacy checks against the observers—or even change their attitudes—if the GM sees fit.

Critical Success Your performance impresses the observers, and they’re likely to share stories of your ability.
Success You prove yourself, and observers appreciate the quality of your performance.
Failure Your performance falls flat.
Critical Failure You demonstrate only incompetence."
Create Forgery,Society,Yes,None,"Downtime, Secret",CRB 251,None,"You create a forged document, usually over the course of a day or a week. You must have the proper writing material to create a forgery. When you Create a Forgery, the GM rolls a secret DC 20 Society check. If you succeed, the forgery is of good enough quality that passive observers can’t notice the fake. Only those who carefully examine the document and attempt a Perception or Society check against your Society DC can do so.

If the document’s handwriting doesn’t need to be specific to a person, you need only to have seen a similar document before, and you gain up to a +4 circumstance bonus to your check, as well as to your DC (the GM determines the bonus). To forge a specific person’s handwriting, you need a sample of that person’s handwriting.

If your check result was below 20, the forgery has some obvious signs of being a fake, so the GM compares your result to each passive observer’s Perception DC or Society DC, whichever is higher, using the success or failure results below. Once the GM rolls your check for a document, that same result is used against all passive observers’ DCs no matter how many creatures passively observe that document.

An observer who was fooled on a passive glance can still choose to closely scrutinize the documents on the lookout for a forgery, using different techniques and analysis methods beyond the surface elements you successfully forged with your original check. In that case, the observer can attempt a Perception or Society check against your Society DC (if they succeed, they know your document is a forgery).

Success The observer does not detect the forgery.
Failure The observer knows your document is a forgery."
Subsist,"Society, Survival",No,None,Downtime,CRB 240,None,"You try to provide food and shelter for yourself, and possibly others as well, with a standard of living. The GM determines the DC based on the nature of the place where you're trying to Subsist. You might need a minimum proficiency rank to Subsist in particularly strange environments. Unlike most downtime activities, you can Subsist after 8 hours or less of exploration, but if you do, you take a –5 penalty.

Critical Success You either provide a subsistence living for yourself and one additional creature, or you improve your own food and shelter, granting yourself a comfortable living.
Success You find enough food and shelter with basic protection from the elements to provide you a subsistence living.
Failure You’re exposed to the elements and don’t get enough food, becoming fatigued until you attain sufficient food and shelter.
Critical Failure You attract trouble, eat something you shouldn’t, or otherwise worsen your situation. You take a –2 circumstance penalty to checks to Subsist for 1 week. You don’t find any food at all; if you don’t have any stored up, you’re in danger of starving or dying of thirst if you continue failing."
Conceal An Object,Stealth,No,A,"Manipulate, Secret",CRB 251,None,"You hide a small object on your person (such as a weapon of light Bulk). When you try to sneak a concealed object past someone who might notice it, the GM rolls your Stealth check and compares it to this passive observer’s Perception DC. Once the GM rolls your check for a concealed object, that same result is used no matter how many passive observers you try to sneak it past. If a creature is specifically searching you for an item, it can attempt a Perception check against your Stealth DC (finding the object on success).

You can also conceal an object somewhere other than your person, such as among undergrowth or in a secret compartment within a piece of furniture. In this case, characters Seeking in an area compare their Perception check results to your Stealth DC to determine whether they find the object.

Success The object remains undetected.
Failure The searcher finds the object."
Hide,Stealth,No,A,Secret,CRB 251,None,"You huddle behind cover or greater cover or deeper into concealment to become hidden, rather than observed. The GM rolls your Stealth check in secret and compares the result to the Perception DC of each creature you’re observed by but that you have cover or greater cover against or are concealed from. You gain the circumstance bonus from cover or greater cover to your check.

Success If the creature could see you, you’re now hidden from it instead of observed. If you were hidden from or undetected by the creature, you retain that condition.

If you successfully become hidden to a creature but then cease to have cover or greater cover against it or be concealed from it, you become observed again. You cease being hidden if you do anything except Hide, Sneak, or Step. If you attempt to Strike a creature, the creature remains flat-footed against that attack, and you then become observed. If you do anything else, you become observed just before you act unless the GM determines otherwise. The GM might allow you to perform a particularly unobtrusive action without being noticed, possibly requiring another Stealth check.

If a creature uses Seek to make you observed by it, you must successfully Hide to become hidden from it again."
Sneak,Stealth,No,A,"Move, Secret",CRB 252,None,"You can attempt to move to another place while becoming or staying undetected. Stride up to half your Speed. (You can use Sneak while Burrowing, Climbing, Flying, or Swimming instead of Striding if you have the corresponding movement type; you must move at half that Speed.)

If you’re undetected by a creature and it’s impossible for that creature to observe you (for a typical creature, this includes when you’re invisible, the observer is blinded, or you’re in darkness and the creature can’t see in darkness), for any critical failure you roll on a check to Sneak, you get a failure instead. You also continue to be undetected if you lose cover or greater cover against or are no longer concealed from such a creature.

At the end of your movement, the GM rolls your Stealth check in secret and compares the result to the Perception DC of each creature you were hidden from or undetected by at the start of your movement. If you have cover or greater cover from the creature throughout your Stride, you gain the +2 circumstance bonus from cover (or +4 from greater cover) to your Stealth check. Because you’re moving, the bonus increase from Taking Cover doesn’t apply. You don’t get to roll against a creature if, at the end of your movement, you neither are concealed from it nor have cover or greater cover against it. You automatically become observed by such a creature.

Success You’re undetected by the creature during your movement and remain undetected by the creature at the end of it.

You become observed as soon as you do anything other than Hide, Sneak, or Step. If you attempt to Strike a creature, the creature remains flat-footed against that attack, and you then become observed. If you do anything else, you become observed just before you act unless the GM determines otherwise. The GM might allow you to perform a particularly unobtrusive action without being noticed, possibly requiring another Stealth check. If you speak or make a deliberate loud noise, you become hidden instead of undetected.

If a creature uses Seek and you become hidden to it as a result, you must Sneak if you want to become undetected by that creature again.

Failure A telltale sound or other sign gives your position away, though you still remain unseen. You’re hidden from the creature throughout your movement and remain so.
Critical Failure You’re spotted! You’re observed by the creature throughout your movement and remain so. If you’re invisible and were hidden from the creature, instead of being observed you’re hidden throughout your movement and remain so."
