Activity_Name,Traits,Source,Requirements,Description
Learn A Spell,"Concentrate, Exploration",CRB 238,"You have a spellcasting class feature, and the spell you want to learn is on your magical tradition’s spell list.","You can gain access to a new spell of your tradition from someone who knows that spell or from magical writing like a spellbook or scroll. If you can cast spells of multiple traditions, you can Learn a Spell of any of those traditions, but you must use the corresponding skill to do so. For example, if you were a cleric with the bard multiclass archetype, you couldn't use Religion to add an occult spell to your bardic spell repertoire.

To learn the spell, you must do the following:
• Spend 1 hour per level of the spell, during which you must remain in conversation with a person who knows the spell or have the magical writing in your possession.
• Have materials with the Price indicated in Table 4–3.
• Attempt a skill check for the skill corresponding to your tradition (DC determined by the GM, often close to the DC on Table 4–3). Uncommon or rare spells have higher DCs.

If you have a spellbook, Learning a Spell lets you add the spell to your spellbook; if you prepare spells from a list, it's added to your list; if you have a spell repertoire, you can select it when you add or swap spells.

Critical Success You expend half the materials and learn the spell.
Success You expend the materials and learn the spell.
Failure You fail to learn the spell but can try again after you gain a level. The materials aren’t expended.
Critical Failure As failure, plus you expend half the materials."
Make An Impression,"Auditory, Concentrate, Exploration, Linguistic, Mental",CRB 246,None,"With at least 1 minute of conversation, during which you engage in charismatic overtures, flattery, and other acts of goodwill, you seek to make a good impression on someone to make them temporarily agreeable. At the end of the conversation, attempt a Diplomacy check against the Will DC of one target, modified by any circumstances the GM sees fit. Good impressions (or bad impressions, on a critical failure) last for only the current social interaction unless the GM decides otherwise.

Critical Success The target’s attitude toward you improves by two steps.
Success The target’s attitude toward you improves by one step.
Critical Failure The target’s attitude toward you decreases by one step."
Pursue A Lead,"Concentrate, Exploration, Investigator",APG 56,None,"Frequency Once per 10 minutes

You spend 1 minute examining the details of one potential clue, designating the subject related to that clue as the target of your active investigation. This subject is typically a single creature, item, or small location (such as a room or corridor), but the GM might allow a different scope for your investigation. You don't need to know the identity, purpose, or nature of the subject, but you do need to be aware of its existence. For instance, finding a footprint is enough to investigate the creature that left it, and seeing a hasty sketch of an item or location can be enough to start your investigation of that subject.

Whenever you attempt a Perception or skill check to investigate a designated subject, you gain a +1 circumstance bonus to the check. The exact checks this applies to depend on the actions you use to investigate and are determined by the GM, but checks to investigate are typically Perception checks or skill checks that use Intelligence, Wisdom, or Charisma.

You can maintain two active investigations at a time. If you Pursue another Lead after that, the subject must be different from any of your current investigations (or rather, they must be different as far as you know), and you give up on a current subject of your choice. Once you've given up pursuit of a subject, you can't Pursue that Lead again until after the next time you make your daily preparations."
Rally,"Auditory, Emotion, Exploration, Lingusitic, Mental, Stamina",GMG 201,"Trained in Diplomacy, Intimidation, or Performance","You spend 1 minute encouraging your ally. Though this action typically has the auditory and linguistic traits, if you’re using the Performance skill, the GM might adjust the traits for this action to match the traits for your type of performance.

Attempt a DC 15 skill check. The GM might adjust this DC based on the circumstances, such as attempting to Rally an ally who just suffered a humiliating defeat.

Critical Success The ally can spend 1 Resolve Point to regain all their Stamina Points.
Success You can continue encouraging your ally for a total of 10 minutes. If you do, they can spend 1 Resolve Point to regain all their Stamina Points.
Critical Failure The ally takes 1d8 mental damage, but this can reduce only Stamina Points, never Hit Points."
Refocus,"Concentrate, Exploration",CRB 300,"You have a focus pool, and you have spent at least 1 Focus Point since you last regained any Focus Points.","You spend 10 minutes performing deeds to restore your magical connection. This restores 1 Focus Point to your focus pool. The deeds you need to perform are specified in the class or ability that gives you your focus spells. These deeds can usually overlap with other tasks that relate to the source of your focus spells. For instance, a cleric with focus spells from a good deity can usually Refocus while tending the wounds of their allies, and a wizard of the illusionist school might be able to Refocus while attempting to Identify Magic of the illusion school."
Repair,"Exploration, Manipulate",CRB 243,You have a repair kit.,"You spend 10 minutes attempting to fix a damaged item, placing the item on a stable surface and using the repair kit with both hands. The GM sets the DC, but it’s usually about the same DC to Repair a given item as it is to Craft it in the first place. You can’t Repair a destroyed item.

Critical Success You restore 10 Hit Points to the item, plus an additional 10 Hit Points per proficiency rank you have in Crafting (a total of 20 HP if you’re trained, 30 HP if you’re an expert, 40 HP if you’re a master, or 50 HP if you’re legendary).
Success You restore 5 Hit Points to the item, plus an additional 5 per proficiency rank you have in Crafting (for a total of 10 HP if you are trained, 15 HP if you’re an expert, 20 HP if you’re a master, or 25 HP if you’re legendary).
Critical Failure You deal 2d6 damage to the item. Apply the item’s Hardness to this damage."
Repeat A Spell,"Concentrate, Exploration",CRB 480,None,"You repeatedly cast the same spell while moving at half speed. Typically, this spell is a cantrip that you want to have in effect in the event a combat breaks out, and it must be one you can cast in 2 actions or fewer. In order to prevent fatigue due to repeated casting, you’ll likely use this activity only when something out of the ordinary occurs.

You can instead use this activity to continue Sustaining a Spell or Activation with a sustained duration. Most such spells or item effects can be sustained for 10 minutes, though some specify they can be sustained for a different duration."
Scout,"Concentrate, Exploration",CRB 480,None,"You scout ahead and behind the group to watch danger, moving at half speed. At the start of the next encounter, every creature in your party gains a +1 circumstance bonus to their initiative rolls."
Search,"Concentrate, Exploration",CRB 480,None,"You Seek meticulously for hidden doors, concealed hazards, and so on. You can usually make an educated guess as to which locations are best to check and move at half speed, but if you want to be thorough and guarantee you checked everything, you need to travel at a Speed of no more than 300 feet per minute, or 150 feet per minute to ensure you check everything before you walk into it. You can always move more slowly while Searching to cover the area more thoroughly, and the Expeditious Search feat increases these maximum Speeds. If you come across a secret door, item, or hazard while Searching, the GM will attempt a free secret check to Seek to see if you notice the hidden object or hazard. In locations with many objects to search, you have to stop and spend significantly longer to search thoroughly."
Sense Direction,"Exploration, Secret",CRB 452,None,"Using the stars, the position of the sun, traits of the geography or flora, or the behavior of fauna, you can stay oriented in the wild. Typically, you attempt a Survival check only once per day, but some environments or changes might necessitate rolling more often. The GM determines the DC and how long this activity takes (usually just a minute or so). More unusual locales or those you’re unfamiliar with might require you to have a minimum proficiency rank to Sense Direction. Without a compass, you take a –2 item penalty to checks to Sense Direction.

Critical Success You get an excellent sense of where you are. If you are in an environment with cardinal directions, you know them exactly.
Success You gain enough orientation to avoid becoming hopelessly lost. If you are in an environment with cardinal directions, you have a sense of those directions."
Squeeze,"Exploration, Move",CRB 241,None,"You contort yourself to squeeze through a space so small you can barely fit through. This action is for exceptionally small spaces; many tight spaces are difficult terrain that you can move through more quickly and without a check.

Critical Success You squeeze through the tight space in 1 minute per 10 feet of squeezing.
Success You squeeze through in 1 minute per 5 feet.
Critical Failure You become stuck in the tight space. While you’re stuck, you can spend 1 minute attempting another Acrobatics check at the same DC. Any result on that check other than a critical failure causes you to become unstuck."
Take A Breather,"Exploration, Stamina",GMG 200,None,"Cost 1 Resolve Point

You rest for 10 minutes and recover your stamina. After you complete this activity, you regain all your Stamina Points."
Track,"Concentrate, Exploration, Move",CRB 252,None,"You follow tracks, moving at up to half your travel speed. After a successful check to Track, you can continue following the tracks at half your Speed without attempting additional checks for up to 1 hour. In some cases, you might Track in an encounter. In this case, Track is a single action and doesn’t have the exploration trait, but you might need to roll more often because you’re in a tense situation. The GM determines how often you must attempt this check.

You attempt your Survival check when you start Tracking, once every hour you continue tracking, and any time something significant changes in the trail. The GM determines the DCs for such checks, depending on the freshness of the trail, the weather, and the type of ground.

Success You find the trail or continue to follow the one you’re already following.
Failure You lose the trail but can try again after a 1-hour delay.
Critical Failure You lose the trail and can’t try again for 24 hours."
Treat Wounds,"Exploration, Healing, Manipulate",CRB 249,"You are holding healer's tools, or you are wearing them and have a hand free.","You spend 10 minutes treating one injured living creature (targeting yourself, if you so choose). The target is then temporarily immune to Treat Wounds actions for 1 hour, but this interval overlaps with the time you spent treating (so a patient can be treated once per hour, not once per 70 minutes).

The Medicine check DC is usually 15, though the GM might adjust it based on the circumstances, such as treating a patient outside in a storm, or treating magically cursed wounds. If you’re an expert in Medicine, you can instead attempt a DC 20 check to increase the Hit Points regained by 10; if you’re a master of Medicine, you can instead attempt a DC 30 check to increase the Hit Points regained by 30; and if you’re legendary, you can instead attempt a DC 40 check to increase the Hit Points regained by 50. The damage dealt on a critical failure remains the same.

If you succeed at your check, you can continue treating the target to grant additional healing. If you treat them for a total of 1 hour, double the Hit Points they regain from Treat Wounds.

The result of your Medicine check determines how many Hit Points the target regains.

Critical Success The target regains 4d8 Hit Points, and its wounded condition is removed.
Success The target regains 2d8 Hit Points, and its wounded condition is removed.
Critical Failure The target takes 1d8 damage."
